station,total_passenger
혜화,281904048
수유(강북구청),276380623
명동,249839557
충무로,215240795
쌍문,212145841
미아사거리,209773266
창동,206317884
사당,186560122
길음,166022214
회현(남대문시장),162472023
동대문,162407427
노원,162386530
상계,139500306
성신여대입구(돈암),131353930
총신대입구(이수),123529180
서울역,113738187
신용산,110941644
동대문역사문화공원,98299760
미아(서울사이버대학),93288411
숙대입구(갈월),87047569
한성대입구(삼선교),86704869
당고개,78266902
이촌(국립중앙박물관),55593748
동대문역사문화공원(DDP),39922208
회현,39578269
삼각지,34371022
성신여대입구,34060679
총신대입구,31380379
미아,24646620
숙대입구,22993175
한성대입구,21910425
동작(현충원),14017093
이촌,13089530
남태령,10398003
불암산,6913790
삼각지(전쟁기념관),5721986
동작,3650259
